Date,Symbol,Company,Price,Insider Name,Insider Position,Buy/Sell,Insider Trading Shares,Shares Change,Price.1,Price Change Since Insider Trade (%),Dividend Yield %
2018-12-31,SQBGQ,Sequential Brands Group Inc,0.0016,PRESCOTT GROUP CAPITAL MANAGEM,10% Owner,P,0,5.81,0.71,-99.77,0.0
2018-12-31,SAFE,Safehold Inc,71.13,ISTAR INC.,10% Owner,P,71,0.19,19.06,273.19,0.94
2018-12-31,REV,Revlon Inc,12.96,PERELMAN RONALD O,"Director, 10% Owner",P,12,0.02,25.15,-48.47,0.0
2018-12-31,HIL,Hill International Inc,2.11,Sgro David,Director,P,2,17.56,3.0,-29.67,0.0
2018-12-31,SLS,SELLAS Life Sciences Group Inc,7.01,Stergiou Angelos M.,President and CEO,S,7,-5.17,1.25,460.8,0.0
2018-12-31,SYBT,Stock Yards Bancorp Inc,64.4,THOMPSON KATHY C,Sr. Executive Vice President,S,64,-2.11,32.63,97.36,1.69
2018-12-31,BURG,Chanticleer Holdings Inc,0.34,Pruitt Michael D,"CEO, Chairman",P,0,2.96,1.31,-74.05,0.0
2018-12-31,BATRA,Liberty Braves Group,30.59,"GAMCO INVESTORS, INC. ET AL",10% Owner,P,30,2.54,24.82,23.25,0.0
2018-12-31,BRN,Barnwell Industries Inc,2.41,KINZLER ALEXANDER C,President and CEO,P,2,1.54,1.53,57.52,0.0
2018-12-31,SMTC,Semtech Corp,91.99,WILSON JOHN MICHAEL,EVP,S,91,-6.07,45.52,102.09,0.0
2018-12-31,BBDC,Barings BDC Inc,11.22,BARINGS LLC,Investment Adviser,P,11,0.59,9.03,24.25,6.86
2018-12-31,TWLO,Twilio Inc,285.0,Hu George,COO,S,285,-5.27,87.27,226.57,0.0
2018-12-31,BOKF,BOK Financial Corp,105.99,Gottron Joseph A. II,"EVP, Chief Information Officer",P,105,28.98,72.69,45.81,1.98
2018-12-31,EPD,Enterprise Products Partners LP,21.7,TEAGUE AJ,CEO,P,21,0.58,24.36,-10.92,8.3
2018-12-31,PRVB,Provention Bio Inc,6.24,Palmer Ashleigh,President and CEO,P,6,0.23,1.71,264.91,0.0
2018-12-31,AMRN,Amarin Corp PLC,3.9,Kennedy Joseph T,General Counsel,S,3,-11.0,13.49,-71.09,0.0
2018-12-31,MNTR,Mentor Capital Inc,0.09505,Shaul Stan,Director,P,0,83.12,0.33,-71.2,0.0
2018-12-31,AMRN,Amarin Corp PLC,3.9,Ketchum Steven B,Chief Scientific Officer,S,3,-4.76,13.51,-71.13,0.0
2018-12-31,AVTX,Avalo Therapeutics Inc,2.17,Armistice Capital Master Fund ,10% Owner,P,2,0.11,3.14,-30.89,0.0
2018-12-31,PINC,Premier Inc,39.79,Klatsky David L,General Counsel,S,39,-46.36,36.81,8.1,1.94
2018-12-31,VRTU,Virtusa Corp,51.325,Canekeratne Kris A,Chairman & CEO,S,51,-1.22,41.6,23.38,0.0
2018-12-31,ODT,Odonate Therapeutics Inc,1.83,TANG KEVIN C,"CEO, 10% Owner",P,1,0.49,13.11,-86.04,0.0
2018-12-31,SIC,Select Interior Concepts Inc,14.49,"BRC Partners Opportunity Fund,",10% Owner,P,14,74.51,6.65,117.89,0.0
2018-12-31,SSP,The E W Scripps Co,20.47,Barmonde Charles L.,"Director, 10% Owner",P,20,4.87,15.62,31.05,0.24
2018-12-31,SSP,The E W Scripps Co,20.47,SCRIPPS CHARLES E,10% Owner,P,20,0.82,15.49,32.15,0.24
2018-12-31,UFCS,United Fire Group Inc,21.97,ERNST BARRIE W,VP/Chief Investment Officer,S,21,-36.78,55.0,-60.05,2.73
2018-12-31,LGCYQ,Legacy Reserves Inc,0.0025,"Baines Creek Capital, LLC",10% Owner,P,0,1.91,1.37,-99.82,0.0
2018-12-31,CRKR,Creek Road Miners Inc,3.285,KESSLER PAUL L.,"Executive Chairman, 10% Owner",P,3,1.04,0.16,1953.13,0.0
2018-12-31,PWFL,PowerFleet Inc,6.46,CANNELL CAPITAL LLC,10% Owner,P,6,1.4,5.48,17.88,0.0
2018-12-31,CEM,"Legg Mason Partners Fund Advisor, LLC",27.98,Glasser Scott,Co-Chief Inv. Officer Sub Adv.,S,27,-100.0,10.3,171.65,6.84
2018-12-31,REED,Reed's Inc,0.4567,REED CHRISTOPHER J,CIO,S,0,-15.0,2.0,-77.17,0.0
2018-12-31,SITC,SITE Centers Corp,16.59,Lukes David R,President & CEO,P,16,6.67,11.0,50.82,2.42
2018-12-31,VUZI,Vuzix Corp,13.04,Kay Edward William Jr.,Director,P,13,8.33,4.79,172.23,0.0
2018-12-31,GNUS,Genius Brands International Inc,1.3,Heyward Andy,"CEO, 10% Owner",P,1,0.0,3.12,-58.33,0.0
2018-12-31,PBIO,Pressure BioSciences Inc,2.42,Young Bradford Addison,Chief Commerical Officer,P,2,100.0,2.25,7.56,0.0
2018-12-31,ALTM,Altus Midstream Co,63.54,KAYNE ANDERSON CAPITAL ADVISOR,10% Owner,P,63,0.11,7.79,715.66,7.08
2018-12-31,FTLF,FitLife Brands Inc,49.04,Dayton Judd,"CHIEF EXECUTIVE OFFICER, 10% Owner",P,49,2.5,0.35,13911.43,0.0
2018-12-31,MCEP,Mid-Con Energy Partners LP,5.52,GOFF JOHN C,10% Owner,P,5,127.52,0.78,607.69,0.0
2018-12-31,UNRV,Unrivaled Brands Inc,0.3398,Peterson Derek,CEO,P,0,3.38,0.57,-40.39,0.0
2018-12-31,OPK,OPKO Health Inc,4.35,FROST PHILLIP MD ET AL,"CEO & Chairman, 10% Owner",P,4,0.06,2.97,46.46,0.0
2018-12-31,AP,Ampco-Pittsburgh Corp,4.99,PFORZHEIMER CARL H II,Director,P,4,31.51,3.14,58.92,0.0
2018-12-31,AP,Ampco-Pittsburgh Corp,4.99,KENNY TERRENCE W,"President,Air&Liq. Proc. Group",P,4,21.74,3.17,57.41,0.0
2018-12-31,RVP,Retractable Technologies Inc,8.7,SHAW THOMAS J,"President and CEO, 10% Owner",P,8,0.41,0.59,1374.58,0.0
2018-12-31,UTG,Reaves Utility Income Fund,33.35,SORENSON RONALD JAMES,Officer of Investment Advisor,P,33,3.76,29.46,13.2,6.62
2018-12-31,AXR,Amrep Corp,13.7,ROBOTTI ROBERT,Director,S,13,-7.54,6.1,124.59,0.0
2018-12-31,SCYX,SCYNEXIS Inc,7.13,Taglietti Marco,CEO,P,7,5.81,0.46,1450.0,0.0
2018-12-31,SCYX,SCYNEXIS Inc,7.13,Angulo Gonzalez David,Chief Medical Officer,P,7,10.93,0.5,1326.0,0.0
2018-12-31,GORO,Gold Resource Corp,2.09,Devlin Barry D,VP Exploration,P,2,3.95,3.8,-45.0,1.76
2018-12-31,MORN,Morningstar Inc,323.62,Mansueto Joseph D,"Executive Chairman, 10% Owner",S,323,-0.1,109.72,194.95,0.39
2018-12-31,FRBK,Republic First Bancorp Inc,3.52,Jacobs Lisa R.,Director,P,3,90.91,5.99,-41.24,0.0
2018-12-31,HSTI,High Sierra Technologies Inc,3.5,VARDAKIS MICHAEL,Director,P,3,142.63,0.02,17400.0,0.0
2018-12-31,TY,Tri-Continental Corp,35.53,Jin Yan,Portfolio Manager of Issuer,P,35,63.88,23.4,51.84,2.96
2018-12-31,HMN,Horace Mann Educators Corp,38.32,McClure Beverley J.,Director,S,38,-10.13,37.08,3.34,3.2
2018-12-31,PSEC,Prospect Capital Corp,8.97,Barry John F,"CHIEF EXECUTIVE OFFICER, 10% Owner",P,8,0.79,6.31,42.16,8.02
2018-12-31,MCEP,Mid-Con Energy Partners LP,5.52,GOFF JOHN C,10% Owner,P,5,127.52,0.78,607.69,0.0
2018-12-31,HY,Hyster-Yale Materials Handling Inc,41.2,RANKIN VICTOIRE G,Member of a Group,P,41,0.54,61.89,-33.43,3.1
2018-12-31,AXAS,Abraxas Petroleum Corp,1.26,WATSON ROBERT L G,President/CEO,P,1,11.99,1.14,10.53,0.0
2018-12-31,HY,Hyster-Yale Materials Handling Inc,41.2,RANKIN ALFRED M ET AL,Chairman,P,41,0.52,61.91,-33.45,3.1
2018-12-31,YEXT,Yext Inc,10.84,Lerman Howard,CEO,S,10,-0.56,14.52,-25.34,0.0
2018-12-31,HY,Hyster-Yale Materials Handling Inc,41.2,Trust dated 9/28/2000 between ,Member of a Group,P,41,1.15,61.67,-33.19,3.1
2018-12-31,HY,Hyster-Yale Materials Handling Inc,41.2,RANKIN BRUCE T,Member of a Group,P,41,1.15,61.67,-33.19,3.1
2018-12-31,IFF,International Flavors & Fragrances Inc,150.03,Winder Investment Pte Ltd,10% Owner,P,150,0.26,133.38,12.48,2.07
2018-12-31,RESI,Front Yard Residential Corp,16.23,Deer Park Road Management Comp,10% Owner,P,16,2.17,8.34,94.6,0.92
2018-12-31,SCU,Sculptor Capital Management Inc,19.1,Elisha Erez,Chief Accounting Officer,S,19,-100.0,0.91,1998.9,18.17
2018-12-31,OFC,Corporate Office Properties Trust,27.12,BUDORICK STEPHEN E,President & CEO,P,27,1.02,20.74,30.76,4.07
2018-12-31,MSLP,MusclePharm Corp,0.6,WYNNEFIELD PARTNERS SMALL CAP ,10% Owner,P,0,1.6,0.57,5.26,0.0
2018-12-31,NL,NL Industries Inc,6.36,STAFFORD THOMAS P,Director,S,6,-94.53,3.62,75.69,3.47
2018-12-31,ICBK,County Bancorp Inc,35.65,ZIEGELBAUER GARY J.,Director,S,35,-0.25,17.53,103.37,1.13
2018-12-31,DISH,DISH Network Corp,33.58,DEFRANCO JAMES,Executive Vice President,P,33,1.79,25.35,32.47,0.0
2018-12-31,EMO,ClearBridge Energy Midstream Opportunity Fund Inc,22.44,Glasser Scott,Co-CIO of Subadviser,S,22,-100.0,7.64,193.72,6.28
2018-12-31,ADES,Advanced Emissions Solutions Inc,6.97,Alta Fundamental Advisers SP L,Director,S,6,-3.18,10.28,-32.2,0.0
2018-12-31,MRCC,Monroe Capital Corp,11.67,ALLISON THOMAS J.,Director,P,11,39.76,9.66,20.81,8.55
2018-12-31,ADES,Advanced Emissions Solutions Inc,6.97,Alta Fundamental Advisers SP L,Director,P,6,4.18,10.34,-32.59,0.0
2018-12-30,GNTX,Gentex Corp,36.64,Ryan Scott P,General Counsel,S,36,-13.33,19.88,84.31,1.31
2018-12-28,HYB,New America High Income Fund Inc,9.76,KORMAN BERNARD J,Director,S,9,-5.9,7.32,33.33,6.13
2018-12-28,SRAX,SRAX Inc,5.3,MIGLINO CHRISTOPHER,CEO,P,5,7.64,1.83,189.62,0.0
2018-12-28,AMSC,American Superconductor Corp,14.3,Kosiba John W JR,"SVP, CFO & Treasurer",S,14,-5.91,10.31,38.7,0.0
2018-12-28,ABBV,AbbVie Inc,116.24,Schumacher Laura J,Vice Chairman,S,116,-15.69,90.0,29.16,4.46
2018-12-28,LFT,Lument Finance Trust Inc,3.83,Cummins Neil A.,Director,P,3,2.87,2.85,34.39,9.39
2018-12-28,GGN,GAMCO Global Gold Natural Resources & Income Trust,3.81,ZIZZA SALVATORE J,Director,S,3,-100.0,3.71,2.7,9.45
2018-12-28,NG,Novagold Resources Inc,7.63,Nauman Clynton R.,Director,S,7,-30.99,3.95,93.16,0.0
2018-12-28,RFIL,RF Industries Ltd,7.66,FINK MARVIN,Director,S,7,-4.92,6.89,11.18,0.0
2018-12-28,HLIX,Helix Technologies Inc,0.84,HELIX OPPORTUNITIES LLC,10% Owner,S,0,-0.04,0.94,-10.64,0.0
2018-12-28,HIX,Western Asset High Income Fund II Inc,7.14,"Saba Capital Management, L.P.",10% Owner,P,7,3.07,5.63,26.82,8.22
2018-12-28,HLIX,Helix Technologies Inc,0.84,VENEGAS ZACHARY L,"CEO, 10% Owner",S,0,-0.04,0.94,-10.64,0.0
2018-12-28,HLIX,Helix Technologies Inc,0.84,Ogur Scott Matthew,"CFO, 10% Owner",S,0,-0.04,0.94,-10.64,0.0
2018-12-28,DPG,Duff & Phelps Global Utility Income Fund Inc.,13.95,Elvekrog Eric,VP & Chief Investment Officer,P,13,53.61,11.78,18.42,10.02
2018-12-28,CUE,Cue Biopharma Inc,14.83,DIGIANDOMENICO ANTHONY,Director,P,14,14.0,4.62,221.0,0.0
2018-12-28,SITE,SiteOne Landscape Supply Inc,248.52,Brisendine L Briley Jr,"EVP, General Counsel & Sec.",S,248,-13.23,55.62,346.82,0.0
2018-12-28,CVA,Covanta Holding Corp,20.23,de Castro Michael Joseph,EVP Supply Chain,P,20,14.7,13.36,51.42,1.58
2018-12-28,FLMN,Falcon Minerals Corp,5.24,HITE Hedge Asset Management LL,10% Owner,P,5,26.88,7.27,-27.92,7.45
2018-12-28,RGLS,Regulus Therapeutics Inc,0.3772,PAPADOPOULOS STELIOS,Director,P,0,6.37,1.09,-65.39,0.0
2018-12-28,ACOR,Acorda Therapeutics Inc,3.47,SCOPIA CAPITAL MANAGEMENT LP,10% Owner,S,3,-0.95,14.99,-76.85,0.0
2018-12-28,GAB,Gabelli Equity Trust Inc,7.13,ZIZZA SALVATORE J,Director,S,7,-24.01,5.13,38.99,8.4
2018-12-28,PAGP,Plains GP Holdings LP,10.53,Brown Oscar K,Director,P,10,7.14,19.82,-46.87,6.83
2018-12-28,DHI,D.R. Horton Inc,102.17,ANDERSON BRADLEY S,Director,S,102,-23.7,34.4,197.01,0.79
2018-12-28,JMP,JMP Group LLC,7.5,Jolson Joseph A,"CEO, 10% Owner",P,7,0.21,4.8,56.25,0.0
2018-12-28,FL,Foot Locker Inc,50.68,Maurer John A,"VP, Treasurer",S,50,-37.19,52.0,-2.54,1.69
2018-12-28,WTI,W&T Offshore Inc,3.56,Williford William J,See Remarks,S,3,-6.61,4.08,-12.75,0.0
2018-12-28,FWBI,First Wave BioPharma Inc,1.99,CASAMENTO CHARLES J,Director,P,1,16.36,1.41,41.13,0.0
2018-12-28,CARA,Cara Therapeutics Inc,14.18,Menzaghi Frederique Ph.D.,Sr VP-Research & Development,S,14,-2.85,12.53,13.17,0.0
2018-12-28,PBPB,Potbelly Corp,5.81,REVORD MATTHEW J,"SVP, GC and Secretary",S,5,-6.53,8.15,-28.71,0.0
2018-12-28,CARA,Cara Therapeutics Inc,14.18,Terrillion Scott,Sec'y; Chief Compliance & G.C.,S,14,-32.68,12.51,13.35,0.0
2018-12-28,CARA,Cara Therapeutics Inc,14.18,CHALMERS DEREK T,President & CEO,S,14,-1.57,12.53,13.17,0.0
2018-12-28,CARA,Cara Therapeutics Inc,14.18,Mohindru Mani,CFO & Chief Strategy Officer,S,14,-35.93,12.55,12.99,0.0
2018-12-28,ABTX,Allegiance Bancshares Inc,43.92,Retzloff Steven F.,President,P,43,5.0,31.3,40.32,1.05
2018-12-28,ABTX,Allegiance Bancshares Inc,43.92,Egge Paul P,Executive Vice President & CFO,P,43,10.07,31.3,40.32,1.05
2018-12-28,DXLG,Destination XL Group Inc,8.4,CANNELL CAPITAL LLC,10% Owner,P,8,0.47,2.1,300.0,0.0
2018-12-28,ADES,Advanced Emissions Solutions Inc,6.97,Alta Fundamental Advisers SP L,Director,S,6,-3.54,9.94,-29.88,0.0
2018-12-28,ADES,Advanced Emissions Solutions Inc,6.97,Alta Fundamental Advisers SP L,Director,P,6,5.01,9.97,-30.09,0.0
2018-12-28,NEON,Neonode Inc,11.0,"Lindqvist Lars, Goran",CFO,P,11,87.5,1.6,587.5,0.0
2018-12-28,BMRN,Biomarin Pharmaceutical Inc,91.47,BIENAIME JEAN JACQUES,CEO,S,91,-0.63,84.04,8.84,0.0
2018-12-28,NEON,Neonode Inc,11.0,Persson Hakan,CEO,P,11,100.0,1.6,587.5,0.0
2018-12-28,NEON,Neonode Inc,11.0,Bunge Andreas,Director,P,11,38.67,1.6,587.5,0.0
2018-12-28,NEON,Neonode Inc,11.0,Rosberg Ulf,"Director, 10% Owner",P,11,252.42,1.6,587.5,0.0
2018-12-28,EGLE,Eagle Bulk Shipping Inc,37.62,Oaktree Capital Group Holdings,10% Owner,P,37,3.8,4.39,756.95,5.31
2018-12-28,PWR,Quanta Services Inc,121.06,FOSTER VINCENT D,Director,P,121,3.83,29.99,303.67,0.2
2018-12-28,CIEN,Ciena Corp,60.77,SMITH GARY B,"PRESIDENT, CEO",S,60,-1.51,32.33,87.97,0.0
2018-12-28,MNTR,Mentor Capital Inc,0.09505,Stansfield Lori,CFO,S,0,-16.67,0.32,-70.3,0.0
2018-12-28,FWBI,First Wave BioPharma Inc,1.99,Spoor Johan M.,PRESIDENT AND CEO,P,1,11.35,1.3,53.08,0.0
2018-12-28,RIG,Transocean Ltd,2.98,DAVIS HOWARD E,"EVP, CAO & CIO",S,2,-100.0,7.1,-58.03,0.0
2018-12-28,DBX,Dropbox Inc,25.03,Vashee Ajay,CFO,S,25,-3.32,21.0,19.19,0.0
2018-12-28,DBX,Dropbox Inc,25.03,Clark Quentin,See Remarks,S,25,-1.02,21.01,19.13,0.0
2018-12-28,FWBI,First Wave BioPharma Inc,1.99,Shenouda Maged,CHIEF FINANCIAL OFFICER,P,1,47.06,1.31,51.91,0.0
2018-12-28,MEI,Methode Electronics Inc,47.39,Tsoumas Ronald L.G.,VP Finance and CFO,P,47,6.03,24.98,89.71,1.05
2018-12-28,CROX,Crocs Inc,175.5,Hart Daniel P,Executive Vice President,S,175,-7.65,27.0,550.0,0.0
2018-12-28,MEET,The Meet Group Inc,6.29,"Luxor Capital Group, LP",10% Owner,P,6,2.78,4.39,43.28,0.0
2018-12-28,DCP,DCP Midstream LP,28.32,FOWLER FRED J,Director,P,28,10.29,26.1,8.51,5.52
2018-12-28,AREXQ,Approach Resources Inc,0.008,Krylov Sergei,EVP & CFO,S,0,-3.05,0.93,-99.14,0.0
2018-12-28,IFF,International Flavors & Fragrances Inc,150.03,Winder Investment Pte Ltd,10% Owner,P,150,0.27,132.31,13.39,2.07
2018-12-28,OII,Oceaneering International Inc,11.12,Lawrence David K,"Sr. V.P., Gen.Counsel and Sec.",P,11,6.07,11.99,-7.26,0.0
2018-12-28,ADRO,Aduro Biotech Inc,14.6,van Elsas Andrea,Chief Scientific Officer,S,14,-0.75,2.57,468.09,0.0
2018-12-28,PRVB,Provention Bio Inc,6.24,DIGIANDOMENICO ANTHONY,Director,P,6,13.57,1.76,254.55,0.0
2018-12-28,PRVB,Provention Bio Inc,6.24,Pisano Wayne,Director,P,6,200.0,1.8,246.67,0.0
2018-12-28,FLMN,Falcon Minerals Corp,5.24,HITE Hedge Asset Management LL,10% Owner,P,5,27.78,7.29,-28.12,7.45
2018-12-28,ROKU,Roku Inc,234.1,Smith Chas,"GM, Sr. VP Roku TV & Players",S,234,-100.0,30.23,674.4,0.0
2018-12-28,ELLI,Ellie Mae Inc,98.99,SCHREINER GATES CATHLEEN,"EVP, Sales & Marketing",S,98,-5.75,64.0,54.67,0.0
2018-12-28,GSHD,Goosehead Insurance Inc,130.99,Jones Robyn Mary Elizabeth,Member of 10% owner group,S,130,-0.04,27.0,385.15,0.0
2018-12-28,GSHD,Goosehead Insurance Inc,130.99,Jones Mark Evan,Member of 10% owner group,S,130,-0.04,27.0,385.15,0.0
2018-12-28,GSHD,Goosehead Insurance Inc,130.99,Mark & Robyn Jones Descendants,Member of 10% owner group,S,130,-0.44,27.0,385.15,0.0
2018-12-28,GSHD,Goosehead Insurance Inc,130.99,Colby Michael C.,President and COO,S,130,-1.65,26.47,394.86,0.0
2018-12-28,OSS,One Stop Systems Inc,5.26,RAUN DAVID,Director,P,5,25.0,2.05,156.59,0.0
2018-12-28,TSLA,Tesla Inc,1137.06,Straubel Jeffrey B,Chief Technical Officer,S,1137,-4.67,325.64,249.18,0.0
2018-12-28,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc",7.99,Shea William H JR,Director,P,7,24.33,12.75,-37.33,8.15
2018-12-28,PETQ,PetIQ Inc,22.43,Santana Will,Executive Vice President,S,22,-53.0,23.53,-4.67,0.0
2018-12-28,WMT,Walmart Inc,142.39,WALTON ALICE L,10% Owner,S,142,-0.05,92.48,53.97,1.53
2018-12-28,WMT,Walmart Inc,142.39,WALTON JIM C,10% Owner,S,142,-0.05,92.48,53.97,1.53
2018-12-28,WMT,Walmart Inc,142.39,WALTON S ROBSON,"Director, 10% Owner",S,142,-0.05,92.48,53.97,1.53
2018-12-28,CNR,Cornerstone Building Brands Inc,16.77,HOLLAND JOHN J,Director,P,16,26.42,7.2,132.92,0.0
2018-12-28,FSLF,THL Credit Senior Loan Fund,15.78,Wilson Jennifer,"PFO, Treasurer & Secretary",P,15,100.0,14.88,6.05,5.58
2018-12-28,CCLP,CSI Compressco LP,1.37,LIDDLE CHRISTOPHER,VP Manufacturing,P,1,100.0,2.28,-39.91,2.93
2018-12-28,CDXS,Codexis Inc,37.22,BARUCH THOMAS R,Director,S,37,-19.52,16.03,132.19,0.0
2018-12-28,CCLP,CSI Compressco LP,1.37,LUNA MIGUEL A,VP,P,1,65.18,2.2,-37.73,2.93
2018-12-28,TWTR,Twitter Inc,48.4,Williams Evan Clark,Director,S,48,-4.9,28.14,72.0,0.0
2018-12-28,CCLP,CSI Compressco LP,1.37,Moscoso Michael E,"Vice President, Finance",P,1,51.94,2.28,-39.91,2.93
2018-12-28,TTI,Tetra Technologies Inc,2.86,Brightman Stuart M,CEO,P,2,8.55,1.41,102.84,0.0
2018-12-28,CEM,"Legg Mason Partners Fund Advisor, LLC",27.98,Freeman Richard A,Portfolio Manager of the Fund,S,27,-100.0,10.12,176.48,6.84
2018-12-28,SEAC,SeaChange International Inc,0.7825,SINGER KAREN,10% Owner,P,0,0.03,1.24,-36.9,0.0
2018-12-28,FSCT,ForeScout Technologies Inc,28.99,Abreu Pedro,Chief Strategy Officer,S,28,-93.83,26.34,10.06,0.0
2018-12-28,CTR,ClearBridge Energy MLP Total Return Fund,24.83,Freeman Richard A,Portfolio Manager of the Fund,S,24,-97.33,7.61,226.28,6.6
