Exchange,Symbol,Company,Currency,Price,Insider Name,Insider Position,Date,Buy/Sell,Insider Trading Shares,Shares Change,Price,Cost(000),Final Share,Price Change Since Insider Trade (%),Dividend Yield %,PE Ratio,Market Cap ($M)
NYSE,AXR,Amrep Corp,$,13.7,ROBOTTI ROBERT,Director,2018-12-31,S,27467,-7.53,6.1,167.549,337163,124.59,0,12.34,100.508
NAS,RMNI,Rimini Street Inc,$,6.9,Shay Thomas C.,SVP Global Operations,2018-12-31,S,2800,-0.06,5.01,14.028,4780357,37.72,0,At Loss,598.851
NAS,UFCS,United Fire Group Inc,$,21.97,CONNER DAVID E,VP/Chief Claims Officer,2018-12-31,S,1500,-12.53,55,82.5,10466.6921,-60.05,2.73,40.69,551.028
NYSE,MDLM,Medley Management Inc,$,0.0081,"JACOBS ASSET MANAGEMENT, LLC",10% Owner,2018-12-31,P,54454,7.83,3.84,209.103,74986.9,-99.79,0,At Loss,0.025
AMEX,TAT,TransAtlantic Petroleum Ltd,$,0.246,Fite Jonathon,Director,2018-12-31,P,40000,2.1,1.05,42,1943694,-76.57,0,At Loss,18.560
NAS,SQBGQ,Sequential Brands Group Inc,$,0.0016,PRESCOTT GROUP CAPITAL MANAGEM,10% Owner,2018-12-31,P,480818,5.81,0.71,341.381,219017.65,-99.77,0,At Loss,0.003
NYSE,SAFE,Safehold Inc,$,71.13,ISTAR INC.,10% Owner,2018-12-31,P,14534,0.19,19.06,277.018,7647317,273.19,0.94,56.01,4023.104
NYSE,REV,Revlon Inc,$,12.96,PERELMAN RONALD O,"Director, 10% Owner",2018-12-31,P,-,0.02,25.15,251.5,45348821,-48.47,0,At Loss,695.432
NYSE,HIL,Hill International Inc,$,2.11,Sgro David,Director,2018-12-31,P,35176,17.56,3,105.528,235447,-29.67,0,At Loss,119.590
NAS,SLS,SELLAS Life Sciences Group Inc,$,7.01,Stergiou Angelos M.,President and CEO,2018-12-31,S,23277,-5.17,1.25,29.0962,8537.16,460.8,0,At Loss,111.357
NAS,SYBT,Stock Yards Bancorp Inc,$,64.4,THOMPSON KATHY C,Sr. Executive Vice President,2018-12-31,S,1500,-2.11,32.63,48.945,69698,97.36,1.69,22.9,1712.026
,BURG,Chanticleer Holdings Inc,$,0.34,Pruitt Michael D,"CEO, Chairman",2018-12-31,P,1000,2.96,1.31,1.31,51.4658907,-74.05,0,At Loss,0.160
NAS,BATRA,Liberty Braves Group,$,30.59,"GAMCO INVESTORS, INC. ET AL",10% Owner,2018-12-31,P,1000,2.54,24.82,24.82,40410,23.25,0,At Loss,1588.540
AMEX,BRN,Barnwell Industries Inc,$,2.41,KINZLER ALEXANDER C,President and CEO,2018-12-31,P,5000,1.54,1.53,7.65,329000,57.52,0,3.78,22.764
NAS,SMTC,Semtech Corp,$,91.99,WILSON JOHN MICHAEL,EVP,2018-12-31,S,5000,-6.07,45.52,227.6,77419,102.09,0,66.65,5923.856
NYSE,BBDC,Barings BDC Inc,$,11.22,BARINGS LLC,Investment Adviser,2018-12-31,P,73400,0.59,9.03,662.802,12600627.19,24.25,6.86,7.63,732.845
NYSE,TWLO,Twilio Inc,$,285,Hu George,COO,2018-12-31,S,-,-5.27,87.27,872.7,179879,226.57,0,At Loss,50823.704
NAS,BOKF,BOK Financial Corp,$,105.99,Gottron Joseph A. II,"EVP, Chief Information Officer",2018-12-31,P,1900,28.98,72.69,138.111,8456,45.81,1.98,11.22,7270.570
NYSE,EPD,Enterprise Products Partners LP,$,21.7,TEAGUE AJ,CEO,2018-12-31,P,-,0.58,24.36,243.6,1747937,-10.92,8.3,12.21,47352.218
NAS,PRVB,Provention Bio Inc,$,6.24,Palmer Ashleigh,President and CEO,2018-12-31,P,5825,0.23,1.71,9.96075,2543325,264.91,0,At Loss,395.459
NAS,AMRN,Amarin Corp PLC,$,3.9,Kennedy Joseph T,General Counsel,2018-12-31,S,26943,-11,13.49,363.461,217934,-71.09,0,At Loss,1543.721
OTCPK,MNTR,Mentor Capital Inc,$,0.09505,Shaul Stan,Director,2018-12-31,P,-,83.12,0.33,3.3,22031,-71.2,0,At Loss,2.172
NAS,AMRN,Amarin Corp PLC,$,3.9,Ketchum Steven B,Chief Scientific Officer,2018-12-31,S,17041,-4.76,13.51,230.224,341297,-71.13,0,At Loss,1543.721
NAS,AVTX,Avalo Therapeutics Inc,$,2.17,Armistice Capital Master Fund ,10% Owner,2018-12-31,P,38799,0.11,3.14,121.829,36257598,-30.89,0,At Loss,243.731
NAS,PINC,Premier Inc,$,39.79,Klatsky David L,General Counsel,2018-12-31,S,12048,-46.36,36.81,443.487,13939,8.1,1.94,18.78,4848.824
NAS,VRTU,Virtusa Corp,$,51.325,Canekeratne Kris A,Chairman & CEO,2018-12-31,S,12000,-1.22,41.6,499.2,971252,23.38,0,31.11,1557.251
NAS,ODT,Odonate Therapeutics Inc,$,1.83,TANG KEVIN C,"CEO, 10% Owner",2018-12-31,P,63700,0.49,13.11,835.107,12946038,-86.04,0,At Loss,70.437
NAS,SIC,Select Interior Concepts Inc,$,14.49,"BRC Partners Opportunity Fund,",10% Owner,2018-12-31,P,129756,74.51,6.65,862.877,303894,117.89,0,7.39,375.960
NAS,SSP,The E W Scripps Co,$,20.47,Barmonde Charles L.,"Director, 10% Owner",2018-12-31,P,2369,4.87,15.62,37.0038,51000,31.05,0.24,6.3,1689.270
NAS,SSP,The E W Scripps Co,$,20.47,SCRIPPS CHARLES E,10% Owner,2018-12-31,P,5000,0.82,15.49,77.45,617315,32.15,0.24,6.3,1689.270
NAS,UFCS,United Fire Group Inc,$,21.97,ERNST BARRIE W,VP/Chief Investment Officer,2018-12-31,S,9780,-36.78,55,537.9,16810.2557,-60.05,2.73,40.69,551.028
NAS,LGCYQ,Legacy Reserves Inc,$,0.0025,"Baines Creek Capital, LLC",10% Owner,2018-12-31,P,470786,1.91,1.37,644.977,25064537,-99.82,0,At Loss,0.430
OTCPK,CRKR,Creek Road Miners Inc,$,3.285,KESSLER PAUL L.,"Executive Chairman, 10% Owner",2018-12-31,P,522070,1.04,0.16,83.5312,2534030.3,1953.13,0,At Loss,12.063
NAS,PWFL,PowerFleet Inc,$,6.46,CANNELL CAPITAL LLC,10% Owner,2018-12-31,P,31452,1.4,5.48,172.357,2284663,17.88,0,At Loss,232.260
NYSE,CEM,"Legg Mason Partners Fund Advisor, LLC",$,27.98,Glasser Scott,Co-Chief Inv. Officer Sub Adv.,2018-12-31,S,24584,-100,10.3,253.215,0,171.65,6.84,At Loss,387.074
AMEX,REED,Reed's Inc,$,0.4567,REED CHRISTOPHER J,CIO,2018-12-31,S,350000,-15,2,700,1982600,-77.17,0,At Loss,42.807
NYSE,SITC,SITE Centers Corp,$,16.59,Lukes David R,President & CEO,2018-12-31,P,15000,6.67,11,165,240015,50.82,2.42,82.95,3504.103
NAS,VUZI,Vuzix Corp,$,13.04,Kay Edward William Jr.,Director,2018-12-31,P,5000,8.33,4.79,23.95,65000,172.23,0,At Loss,829.758
NAS,GNUS,Genius Brands International Inc,$,1.3,Heyward Andy,"CEO, 10% Owner",2018-12-31,P,620401,0,3.12,1935.65,378471,-58.33,0,At Loss,391.258
OTCPK,PBIO,Pressure BioSciences Inc,$,2.42,Young Bradford Addison,Chief Commerical Officer,2018-12-31,P,1579,100,2.25,3.55275,1579,7.56,0,At Loss,15.419
NAS,ALTM,Altus Midstream Co,$,63.54,KAYNE ANDERSON CAPITAL ADVISOR,10% Owner,2018-12-31,P,16000,0.11,7.79,124.64,711344.3,715.66,7.08,12.39,238.049
OTCPK,FTLF,FitLife Brands Inc,$,49.04,Dayton Judd,"CHIEF EXECUTIVE OFFICER, 10% Owner",2018-12-31,P,49400,2.5,0.35,17.29,202672.4,13911.43,0,5.66,55.204
NAS,MCEP,Mid-Con Energy Partners LP,$,5.52,GOFF JOHN C,10% Owner,2018-12-31,P,380000,127.52,0.78,296.4,3390,607.69,0,At Loss,79.000
OTCPK,UNRV,Unrivaled Brands Inc,$,0.3398,Peterson Derek,CEO,2018-12-31,P,26000,3.38,0.57,14.82,795782,-40.39,0,At Loss,151.310
NAS,OPK,OPKO Health Inc,$,4.35,FROST PHILLIP MD ET AL,"CEO & Chairman, 10% Owner",2018-12-31,P,135000,0.06,2.97,400.95,212049633,46.46,0,39.55,2963.834
NYSE,AP,Ampco-Pittsburgh Corp,$,4.99,PFORZHEIMER CARL H II,Director,2018-12-31,P,-,31.51,3.14,31.4,41733,58.92,0,55.45,95.278
NYSE,AP,Ampco-Pittsburgh Corp,$,4.99,KENNY TERRENCE W,"President,Air&Liq. Proc. Group",2018-12-31,P,4000,21.74,3.17,12.68,22396,57.41,0,55.45,95.278
AMEX,RVP,Retractable Technologies Inc,$,8.7,SHAW THOMAS J,"President and CEO, 10% Owner",2018-12-31,P,75000,0.41,0.59,44.25,18158953,1374.58,0,5.76,295.879
AMEX,UTG,Reaves Utility Income Fund,$,33.35,SORENSON RONALD JAMES,Officer of Investment Advisor,2018-12-31,P,1000,3.76,29.46,29.46,27569.157,13.2,6.62,4.84,1983.177
NYSE,AXR,Amrep Corp,$,13.7,ROBOTTI ROBERT,Director,2018-12-31,S,27487,-7.54,6.1,167.671,337143,124.59,0,12.34,100.508
NAS,SCYX,SCYNEXIS Inc,$,7.13,Taglietti Marco,CEO,2018-12-31,P,25000,5.81,0.46,11.5,45500,1450,0,At Loss,170.765
NAS,SCYX,SCYNEXIS Inc,$,7.13,Angulo Gonzalez David,Chief Medical Officer,2018-12-31,P,12000,10.93,0.5,6,12179,1326,0,At Loss,170.765
AMEX,GORO,Gold Resource Corp,$,2.09,Devlin Barry D,VP Exploration,2018-12-31,P,1000,3.95,3.8,3.8,26301,-45,1.76,16.09,155.875
NAS,MORN,Morningstar Inc,$,323.62,Mansueto Joseph D,"Executive Chairman, 10% Owner",2018-12-31,S,22155,-0.1,109.72,2430.85,22752530,194.95,0.39,66.04,13946.565
NAS,FRBK,Republic First Bancorp Inc,$,3.52,Jacobs Lisa R.,Director,2018-12-31,P,2000,90.91,5.99,11.98,4200,-41.24,0,11.73,209.282
OTCPK,HSTI,High Sierra Technologies Inc,$,3.5,VARDAKIS MICHAEL,Director,2018-12-31,P,1087525,142.63,0.02,21.7505,1850000,17400,0,At Loss,72.093
NYSE,TY,Tri-Continental Corp,$,35.53,Jin Yan,Portfolio Manager of Issuer,2018-12-31,P,5000,63.88,23.4,117,12827,51.84,2.96,3.23,1857.696
NYSE,HMN,Horace Mann Educators Corp,$,38.32,McClure Beverley J.,Director,2018-12-31,S,1800,-10.13,37.08,66.744,15960.999,3.34,3.2,10.7,1589.805
NAS,PSEC,Prospect Capital Corp,$,8.97,Barry John F,"CHIEF EXECUTIVE OFFICER, 10% Owner",2018-12-31,P,299707,0.79,6.31,1891.15,38062204.23,42.16,8.02,3.49,3497.101
NAS,MCEP,Mid-Con Energy Partners LP,$,5.52,GOFF JOHN C,10% Owner,2018-12-31,P,380000,127.52,0.78,296.4,3390,607.69,0,At Loss,79.000
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN VICTOIRE G,Member of a Group,2018-12-31,P,3684,0.54,61.89,228.003,691518,-33.43,3.1,At Loss,693.266
NAS,AXAS,Abraxas Petroleum Corp,$,1.26,WATSON ROBERT L G,President/CEO,2018-12-31,P,174652,11.99,1.14,199.103,81544.2,10.53,0,At Loss,10.612
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN ALFRED M ET AL,Chairman,2018-12-31,P,3590,0.52,61.91,222.257,691519,-33.45,3.1,At Loss,693.266
NYSE,YEXT,Yext Inc,$,10.84,Lerman Howard,CEO,2018-12-31,S,30000,-0.56,14.52,435.6,5299606,-25.34,0,At Loss,1385.842
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,Trust dated 9/28/2000 between ,Member of a Group,2018-12-31,P,1769,1.15,61.67,109.094,155149,-33.19,3.1,At Loss,693.266
NYSE,HY,Hyster-Yale Materials Handling Inc,$,41.2,RANKIN BRUCE T,Member of a Group,2018-12-31,P,1769,1.15,61.67,109.094,155149,-33.19,3.1,At Loss,693.266
NYSE,IFF,International Flavors & Fragrances Inc,$,150.03,Winder Investment Pte Ltd,10% Owner,2018-12-31,P,50400,0.26,133.38,6722.35,19536858,12.48,2.07,121.99,38189.685
NYSE,RESI,Front Yard Residential Corp,$,16.23,Deer Park Road Management Comp,10% Owner,2018-12-31,P,125000,2.17,8.34,1042.5,5891766,94.6,0.92,At Loss,974.540
NYSE,SCU,Sculptor Capital Management Inc,$,19.1,Elisha Erez,Chief Accounting Officer,2018-12-31,S,300748,-100,0.91,273.681,0,1998.9,18.17,2.19,488.098
NYSE,OFC,Corporate Office Properties Trust,$,27.12,BUDORICK STEPHEN E,President & CEO,2018-12-31,P,1206,1.02,20.74,25.0124,119284,30.76,4.07,21,3046.249
OTCPK,MSLP,MusclePharm Corp,$,0.6,WYNNEFIELD PARTNERS SMALL CAP ,10% Owner,2018-12-31,P,27925,1.6,0.57,15.9172,1771305,5.26,0,300.01,20.088
NYSE,NL,NL Industries Inc,$,6.36,STAFFORD THOMAS P,Director,2018-12-31,S,19000,-94.53,3.62,68.78,1100,75.69,3.47,7.66,310.385
NAS,ICBK,County Bancorp Inc,$,35.65,ZIEGELBAUER GARY J.,Director,2018-12-31,S,1000,-0.25,17.53,17.53,404041,103.37,1.13,11.73,217.226
NAS,DISH,DISH Network Corp,$,33.58,DEFRANCO JAMES,Executive Vice President,2018-12-31,P,25000,1.79,25.35,633.75,1423356,32.47,0,8.03,17756.846
NYSE,EMO,ClearBridge Energy Midstream Opportunity Fund Inc,$,22.44,Glasser Scott,Co-CIO of Subadviser,2018-12-31,S,9449,-100,7.64,72.1904,0,193.72,6.28,1.95,298.611
NAS,ADES,Advanced Emissions Solutions Inc,$,6.97,Alta Fundamental Advisers SP L,Director,2018-12-31,S,45000,-3.18,10.28,462.6,1371379,-32.2,0,2.35,131.489
NAS,MRCC,Monroe Capital Corp,$,11.67,ALLISON THOMAS J.,Director,2018-12-31,P,5000,39.76,9.66,48.3,17575.113,20.81,8.55,7.22,251.412
NAS,ADES,Advanced Emissions Solutions Inc,$,6.97,Alta Fundamental Advisers SP L,Director,2018-12-31,P,55000,4.18,10.34,568.7,1371379,-32.59,0,2.35,131.489
NAS,GNTX,Gentex Corp,$,36.64,Ryan Scott P,General Counsel,2018-12-30,S,3000,-13.33,19.88,59.64,19513,84.31,1.31,21.3,8666.096
NYSE,HYB,New America High Income Fund Inc,$,9.76,KORMAN BERNARD J,Director,2018-12-28,S,40093,-5.9,7.32,293.481,639694,33.33,6.13,5.97,228.080
NAS,SRAX,SRAX Inc,$,5.3,MIGLINO CHRISTOPHER,CEO,2018-12-28,P,80000,7.64,1.83,146.4,1127575,189.62,0,At Loss,133.353
NAS,AMSC,American Superconductor Corp,$,14.3,Kosiba John W JR,"SVP, CFO & Treasurer",2018-12-28,S,12374,-5.91,10.31,127.576,197081,38.7,0,At Loss,406.053
NYSE,ABBV,AbbVie Inc,$,116.24,Schumacher Laura J,Vice Chairman,2018-12-28,S,25000,-15.69,90,2250,134322,29.16,4.46,27.67,205480.747
NYSE,LFT,Lument Finance Trust Inc,$,3.83,Cummins Neil A.,Director,2018-12-28,P,1000,2.87,2.85,2.85,35794,34.39,9.39,12.78,95.550
AMEX,GGN,GAMCO Global Gold Natural Resources & Income Trust,$,3.81,ZIZZA SALVATORE J,Director,2018-12-28,S,1000,-100,3.71,3.71,0,2.7,9.45,9.86,586.881
AMEX,NG,Novagold Resources Inc,$,7.63,Nauman Clynton R.,Director,2018-12-28,S,73634,-30.99,3.95,290.854,163966,93.16,0,At Loss,2533.458
NAS,RFIL,RF Industries Ltd,$,7.66,FINK MARVIN,Director,2018-12-28,S,4000,-4.92,6.89,27.56,77339,11.18,0,13.94,76.911
OTCPK,HLIX,Helix Technologies Inc,$,0.84,HELIX OPPORTUNITIES LLC,10% Owner,2018-12-28,S,9995,-0.04,0.94,9.3953,22470964,-10.64,0,At Loss,123.585
NYSE,HIX,Western Asset High Income Fund II Inc,$,7.14,"Saba Capital Management, L.P.",10% Owner,2018-12-28,P,267294,3.07,5.63,1504.87,8965117,26.82,8.22,4.36,419.758
OTCPK,HLIX,Helix Technologies Inc,$,0.84,VENEGAS ZACHARY L,"CEO, 10% Owner",2018-12-28,S,9995,-0.04,0.94,9.3953,22470964,-10.64,0,At Loss,123.585
OTCPK,HLIX,Helix Technologies Inc,$,0.84,Ogur Scott Matthew,"CFO, 10% Owner",2018-12-28,S,9995,-0.04,0.94,9.3953,22470964,-10.64,0,At Loss,123.585
NYSE,DPG,Duff & Phelps Global Utility Income Fund Inc.,$,13.95,Elvekrog Eric,VP & Chief Investment Officer,2018-12-28,P,3909,53.61,11.78,46.048,11200,18.42,10.02,At Loss,529.120
NAS,CUE,Cue Biopharma Inc,$,14.83,DIGIANDOMENICO ANTHONY,Director,2018-12-28,P,7000,14,4.62,32.34,57000,221,0,At Loss,471.014
NYSE,SITE,SiteOne Landscape Supply Inc,$,248.52,Brisendine L Briley Jr,"EVP, General Counsel & Sec.",2018-12-28,S,2700,-13.23,55.62,150.174,17708,346.82,0,51.24,11108.996
NYSE,CVA,Covanta Holding Corp,$,20.23,de Castro Michael Joseph,EVP Supply Chain,2018-12-28,P,-,14.7,13.36,133.6,78008,51.42,1.58,112.39,2690.776
NAS,FLMN,Falcon Minerals Corp,$,5.24,HITE Hedge Asset Management LL,10% Owner,2018-12-28,P,1354622,26.88,7.27,9848.1,6394098,-27.92,7.45,33.44,243.014
NAS,RGLS,Regulus Therapeutics Inc,$,0.3772,PAPADOPOULOS STELIOS,Director,2018-12-28,P,50000,6.37,1.09,54.5,835073,-65.39,0,At Loss,32.835
NAS,ACOR,Acorda Therapeutics Inc,$,3.47,SCOPIA CAPITAL MANAGEMENT LP,10% Owner,2018-12-28,S,52891,-0.95,14.99,792.836,915174.3303,-76.85,0,At Loss,38.872
NYSE,GAB,Gabelli Equity Trust Inc,$,7.13,ZIZZA SALVATORE J,Director,2018-12-28,S,4083,-24.01,5.13,20.9458,12920,38.99,8.4,2.66,1878.839
NYSE,PAGP,Plains GP Holdings LP,$,10.53,Brown Oscar K,Director,2018-12-28,P,1000,7.14,19.82,19.82,15000,-46.87,6.83,At Loss,2044.321
NYSE,DHI,D.R. Horton Inc,$,102.17,ANDERSON BRADLEY S,Director,2018-12-28,S,-,-23.7,34.4,344,32191,197.01,0.79,8.94,36374.138
NYSE,JMP,JMP Group LLC,$,7.5,Jolson Joseph A,"CEO, 10% Owner",2018-12-28,P,13420,0.21,4.8,64.416,6358087,56.25,0,4.44,149.689
NYSE,FL,Foot Locker Inc,$,50.68,Maurer John A,"VP, Treasurer",2018-12-28,S,2041,-37.19,52,106.132,3447.4713,-2.54,1.69,5.23,5260.973
NYSE,WTI,W&T Offshore Inc,$,3.56,Williford William J,See Remarks,2018-12-28,S,5041,-6.61,4.08,20.5673,71245,-12.75,0,At Loss,506.827
NAS,FWBI,First Wave BioPharma Inc,$,1.99,CASAMENTO CHARLES J,Director,2018-12-28,P,9000,16.36,1.41,12.69,6400,41.13,0,At Loss,19.830
NAS,CARA,Cara Therapeutics Inc,$,14.18,Menzaghi Frederique Ph.D.,Sr VP-Research & Development,2018-12-28,S,4300,-2.85,12.53,53.879,146479,13.17,0,24.02,758.043
NAS,PBPB,Potbelly Corp,$,5.81,REVORD MATTHEW J,"SVP, GC and Secretary",2018-12-28,S,1800,-6.53,8.15,14.67,25785,-28.71,0,At Loss,167.042
NAS,CARA,Cara Therapeutics Inc,$,14.18,Terrillion Scott,Sec'y; Chief Compliance & G.C.,2018-12-28,S,3100,-32.68,12.51,38.781,6386,13.35,0,24.02,758.043
NAS,CARA,Cara Therapeutics Inc,$,14.18,CHALMERS DEREK T,President & CEO,2018-12-28,S,15825,-1.57,12.53,198.287,993788,13.17,0,24.02,758.043
NAS,CARA,Cara Therapeutics Inc,$,14.18,Mohindru Mani,CFO & Chief Strategy Officer,2018-12-28,S,4500,-35.93,12.55,56.475,8026,12.99,0,24.02,758.043
NAS,ABTX,Allegiance Bancshares Inc,$,43.92,Retzloff Steven F.,President,2018-12-28,P,15000,5,31.3,469.5,315049,40.32,1.05,11.83,889.405
NAS,ABTX,Allegiance Bancshares Inc,$,43.92,Egge Paul P,Executive Vice President & CFO,2018-12-28,P,1000,10.07,31.3,31.3,10934,40.32,1.05,11.83,889.405
NAS,DXLG,Destination XL Group Inc,$,8.4,CANNELL CAPITAL LLC,10% Owner,2018-12-28,P,24227,0.47,2.1,50.8767,5170722,300,0,32.31,533.814
NAS,ADES,Advanced Emissions Solutions Inc,$,6.97,Alta Fundamental Advisers SP L,Director,2018-12-28,S,50000,-3.54,9.94,497,1361379,-29.88,0,2.35,131.489
