dialogue,ground_truth,zero_shot_summaries,one_shot_summaries
"Lucas: Hey! How was your day?   Demi: Hey there!    Demi: It was pretty fine, actually, thank you!   Demi: I just got promoted! :D   Lucas: Whoa! Great news!   Lucas: Congratulations!   Lucas: Such a success has to be celebrated.   Demi: I agree! :D   Demi: Tonight at Death & Co.?   Lucas: Sure!   Lucas: See you there at 10pm?   Demi: Yeah! See you there! :D",Demi got promoted. She will celebrate that with Lucas at Death & Co at 10 pm.,   Lucas and Demi are making plans to celebrate Demi's promotion at Death & Co. at 10pm. Lucas congratulates Demi on her,   Demi got promoted and Lucas suggested celebrating at Death & Co. tonight at 10pm.
Mark: I just shipped the goods   Mark: Tomorrow I’ll send you the tracking number   George: Thanks!,Mark just shipped the goods and he will send George the tracking number tomorrow.,   Mark has shipped the goods and will send George the tracking number tomorrow. George thanked him for this., Mark shipped the goods and will send George the tracking number tomorrow.
"Anita: I'm at the station in Bologna   Jenny: No problems so far?   Anita: no, everything's going smoothly   Tomy: good!",Anita is at Bologna station.,   Anita is at the station in Bologna and everything is going smoothly. Jenny and Tomy are both pleased with this news.,     Anita is at the station in Bologna and everything is going smoothly. Jenny and Tomy are reassured by this.
"Leon: did you find the job yet?   Arthur: no bro, still unemployed :D   Leon: hahaha, LIVING LIFE   Arthur: i love it, waking up at noon, watching sports - what else could a man want?   Leon: a paycheck? ;)   Arthur: don't be mean...    Leon: but seriously, my mate has an offer as a junior project manager at his company, are you interested?   Arthur: sure thing, do you have any details?   Leon: <file_photo>   Arthur: that actually looks nice, should I reach out directly to your friend or just apply to this email address from the screenshot?   Leon: it's his email, you can send your resume directly and I will mention to him who you are :)",Arthur is still unemployed. Leon sends him a job offer for junior project manager position. Arthur is interested.,   Leon and Arthur are discussing Arthur's job search. Leon suggests that his friend has an offer for a junior project manager position and offers to mention Arthur to,   Leon and Arthur are discussing a job opportunity. Leon's friend has an offer for a junior project manager position and Arthur is interested. Leon has provided Arthur
"Macca: i'm so exited today   Adrien: why?   Macca: I've never done ice climbing before   Mark: Are you ready?   Macca: think so   Tobias: where are you doing this?   Macca: not far from Reykjavik   Macca: Has anybody seriously injured themselves doing this?   Mark: not seriously   Adrien: I didn't know you're in Iceland!   Macca: hahaha, doesn't sound so good   Mark: no need to be afraid   Macca: gosh, it was such a rush   Mark: did you enjoy it?   Macca: every second   Macca: it was not very cold   Macca: the landscapes were magnificent   Mark: I'm glad to read that   Macca: Challenge of the day done!","Macca has done ice climbing for the first time today, close to Reykjavik. He enjoyed it very much.","   Macca is excited because they are going ice climbing for the first time. They are doing it near Reykjavik, Iceland and Mark reassures",   Macca is excited to try ice climbing for the first time and is doing it near Reykjavik. Mark reassures him that there is no
"Isabella: fuck my life, I'm so not able to get up to work today   Isabella: I need to call in sick :(   Oscar: haha, well you certainly had a good time at the Christmas party yesterday XD   Isabella: shut up, you're a traitor   Isabella: I told you to guard my glass   Isabella: and my sobriety. You clearly failed!   Oscar: but you were having such fun, I didn't have a heart to stop it   Oscar: <file_photo>   Oscar: <file_photo>   Isabella: you're so dead! Is that Jimmy from marketing department?   Oscar: yes indeed, it's him :D   Isabella: I am a fallen woman, I cannot get back to the office now   Isabella: <file_gif>   Oscar: oh come on, almost everybody was drunk   Oscar: so they won't remember a thing :D   Isabella: I assure you, they tend to remember such things…   Oscar: <file_gif>",Isabella feels bad after the Christmas party. She got drunk. She is ashamed to go back to work. ,"   Isabella and Oscar are discussing Isabella's hangover from the Christmas party the night before. Oscar has posted photos of Isabella having fun, which",   Isabella is embarrassed about her behavior at the Christmas party and is considering calling in sick to work. Oscar is trying to reassure her that no one will
"Tina: I'd only like to remind you that you owe me 50 bucks   Lucy: Of course, I know.   Lucy: I've already transferred the money but it's Sunday today so you'll have it in your bank account tomorrow   Tina: That's good news cuz I've been having a lot of expenses lately",Lucy owes Tina 50 dollars. She made a transfer but it is Sunday so the payment will be on Tina's account on Monday. Tina needs the money because she has been having expanses recently.,"   Tina reminded Lucy that she owed her $50, and Lucy confirmed that she had already transferred the money. However, since it was Sunday, Tina","     Tina reminded Lucy that she owed her $50, and Lucy confirmed that she had already transferred the money but it wouldn't be available until the"
"Betty: Please remind me next time that too much wine isn't good for me and me surrounding   Betty: Hangover is one thing   Betty: But I feel like never touching wine again   Amber: Hahaha. You were so drunk with wine last night, you couldn't walk straight even 5 steps   Amber: You took off your weeding ring and shouted ""My precious""   Betty: Uhh. I have no blackouts so I know exactly what to feel embarassed about....",Betty feels remorse she got drunk last night and went out of control.,   Betty and Amber are discussing Betty's drinking habits from the night before. Betty expresses her regret for drinking too much and Amber teases her about how,   Betty had a bad experience with drinking too much wine the night before and Amber is teasing her about it.
"Mary: Hi Mike!   Mike: Hello :)   Mary: do u have any plans for tonight?   Mike: I'm going to visit my grandma.   Mike: You can go with me.   Mike: She likes u very much.   Mary: Good idea, i'll buy some chocolate for her.",Mike and Mary are going to visit Mike's grandma tonight. Mary will buy her some chocolate.,   Mary and Mike are planning to visit Mike's grandma tonight. Mary will bring some chocolate for her as a gift.,"   In the conversation, Mike is going to visit his grandma and invites Mary to come along. Mary agrees and plans to buy some chocolate for his grandma."
"Laura: ok , I'm done for today-)   Laura: let me know once u're free and we come back home together   Kim: hmm.. 7?   Laura: ok   Kim: cool, wait for me at work, I'll call once I get here","Laura will pick up Kim from work around 7, and they will come back home together.",   Laura and Kim are making plans to leave work together. Laura is done for the day and Kim suggests they leave at 7. Laura agrees and Kim tells,     Laura and Kim are arranging to meet up at work at 7pm. Laura will wait for Kim to call when she arrives.
"Ashley: Guys, you have to read this book!  <file_photo>   Marcus: Why, what's so special about it?   Erin: I think I've already heard about it from someone. Is it really that good?   Ashley: It's the best thing I've ever read! Completely life-changing! It's opened my eyes to a lot of things.   Seamus: Sorry, but I don't like books that are written to change my life. I prefer books that are simply fun to read :P   Marcus: I get what you mean. I feel like some authors are so concentrated on making their books full of wisdom that they completely forget that they should also be readable.   Erin: Do you mean Coelho? XD   Marcus: No, while I'm not a fan of his, at least I've never fallen asleep while reading his books. I meant this one for example: <file_other>   Ashley: Erm, I quite like his books.   Seamus: Did they change your life too? :D   Ashley: Wait, I meant Coelho. I've never read the other guy.   Marcus: Trust me, don't. There are lots of better ways of wasting your time.   Ashley: LOL, okay, I trust you. But the one I posted at the beginning is really good. It's not just some philosophical gibberish, it's actually a crime novel, so there's a lot of action too.   Erin: Does it have a cute detective? ;)   Ashley: Even two of them, actually. Believe me, you won't be able to decide which one to love more!   Erin: Okay, I'm already sold :D","Erin is convinced by Ashley's book recommendations, while Seamus and Marcus aren't.",   Ashley recommends a book that she believes is life-changing and Marcus and Seamus express their doubts about books that are written to change one's life,"     In this conversation, Ashley recommends a crime novel that she believes is life-changing. Marcus and Seamus express their doubts about books that are written"
"Aria: You won't believe who I've just met!   Aria: Charlie Evans!   Maverick: Oh God, I haven't seen him from ages!   Maverick: How is he doing?   Aria: He's doing great. :)   Aria: He got married, he runs a small family business, which he is very passionate about and generally he seems to be a happy and fulfilled man. :)   Aria: Oh, and he has two absolutely adorable daughters. :)   Aria: It was so nice to meet him, he's such a sweet soul.   Maverick: I’m glad to hear that. :)   Maverick: Time flies so fast, doesn't it?   Aria: It does. :) Recently I’ve met Cooper Roy, I'm sure you remember him, I constantly talked about him back then in high school, because I had a huge crush on him. He’s changed a lot!   Aria: I barely recognized him!   Maverick: I remember, how you and Kylie used to gossip about him all the time. :)   Aria: Well, we were madly in love with him.   Aria: Or at least we thought so. ;)   Maverick: I sometimes miss those times.   Maverick: Everything seemed to be easier, better and calmer back then.   Aria: The world wasn’t as crazy as it is now.   Aria: I feel like politics got crazier, people - more radical and hostile and economics - less predictable...   Maverick: Me too...:(","Aria has just run into Charlie Evans. He is now married, with two daughters, and a family business. She has also met Cooper Roy from high school. She used to have a crush on him, now she almost didn't recognise him. Maverick and Aria miss the old times and think the world has changed for the worse.","   Aria and Maverick reminisce about the past, discussing how time flies and how the world has changed since they were in high school. Aria","   Aria and Maverick reminisce about their high school days, when Aria and her friend Kylie used to gossip about Cooper Roy, whom they"
Anna: where are you   Omenah: at home    Anna: I will be there in a minute ,"Omenah is at home, Anna will be there in a minute.",   Anna is going to Omenah's house and will arrive in a minute.,   Anna is going to Omenah's house.
"Renee: Just saying Hi. Thought of you this morning.Layla misses you. She is having knee surgery. Hope you are doing well.   Rachel: Renee! Hey! Whoa! So crazy that you wrote. I was literally thinking of you the other day as well.    Rachel: I am doing really well, getting settled here and everything. Looking for a new job.    Rachel: Layla is getting knew surgery?! What happened?   Renee: Her arthritis got really bad. I saw her limping every time we went out for a walk, and so I took her to the vet and they decided she needs surgery.    Rachel: Oh wow. That is really intense. I am sending her lots of love.   Renee: Thanks Rachel.    Renee: Here is a pic of Layla from this morning.   Renee: <file_picture>   Renee: She is all cute in her usual spot.    Rachel: Ha! Yeah, I remember, she would always try to fit in there even though she's obviously too big   Rachel: 😂   Renee: Yeah, she's always getting into some sort of silly situations.   Renee: What kind of work are you looking for?   Rachel: Just the usual, something with teaching. I am not too stressed yet, I have some savings.   Renee: That's good, yeah, you don't want to have to feel pressured into taking a certain job.    Renee: Just so you know, if you are ever back, you are more than welcome to come back and work for me.    Renee: Layla is definitely missing you taking her on walks everyday.    Rachel: Aw, yeah, I miss you guys too. Of course :) If I am ever back I will let you know! ","Layla the dog misses Rachel. She is having a knee surgery, because of arthritis. Renee sends a picture of her dog. Rachel getting settled and she's looking for a job in teaching. ","   Renee and Rachel are catching up after some time apart. Renee mentioned that Layla, her dog, is having knee surgery due to her arthritis",   Renee and Rachel are catching up. Renee is letting Rachel know that Layla is having knee surgery due to her arthritis. Rachel is looking for
Jonas: I’m running 10 minutes late. Could you guys just let Mary know that I’m coming and will present today before she starts?   Natalie: Sure no problem   Olivia: I’ll save a seat for you 😍   Jonas: Thanks so much. See you in a bit xx,Jonas will be 10 minutes late. Natalie will let Mary know Jonas will present before she starts.,   Jonas is running 10 minutes late and asked Natalie and Olivia to let Mary know he will be presenting today before she starts. Olivia offered to save a,   Jonas is running late and needs Mary to be informed before she starts. Natalie and Olivia will help him out by letting Mary know and saving a seat
"Julius: dude, your assessment of manutd   Lawrence: i have nothing to say, im so offended and hopeless of them this season   Julius: me too   Lawrence: i dont even know whats wrong with the team   Julius: the quality is there but nothing is happening   Lawrence: the players look tired of something   Julius:  with mourinhos conservative football!!   Lawrence: its so boring   Julius: so lifeless   Lawrence: man!!   Julius: it needs to change, hope the board sees it   Lawrence: sooner than later   Julius: yeah   Lawrence: yeah",Lawrence doesn't like the play of Manchester United. He and Julius complain about the team and Mourinho's style.,   Julius and Lawrence agree that Manchester United's performance this season has been disappointing and that the team looks tired and uninspired due to Mourinho's conservative football, Julius and Lawrence are discussing the performance of Manchester United this season. They agree that the team has quality but is not performing well due to the conservative football style of
"Jade: are you going to that trip   Wayne: was   Jade: what do you mean   Wayne: its portponed   Jade: are you kidding me XD   Wayne: im serious, why surprised   Jade: i had to go home and miss it xD   Wayne: oh, cool you can make it when we go   Jade: yea, yesss   Wayne: :D",The trip Wayne was going to go on was postponed. Now Jade will be able to go to.,"   Jade was surprised to hear that the trip was postponed, but Wayne reassured her that she could still make it when they go. She was relieved and","   Jade was surprised to find out that the trip was postponed, but Wayne reassured her that she could still go when they reschedule it."
"Natalie: are you still going to Thailand?   Jason: yeah, next week as planned   Jason: why?   Natalie: could you buy me some spices?   Natalie: I can't find anything similar here   Natalie: and I really like those   Jason: sure, if you'll send me all the names   Jason: you know, I'm not very good when it comes to remembering those   Natalie: of course, I will take pictures of the ones I have to make it easier   Jason: great and just to be sure remind me about that in two weeks or so   Jason: I might have other things on my mind and I tend to forget things easily :)   Natalie: that shouldn't be a problem :)",Jason is going to Thailand next week. Natalie will send him pictures of the spices she wants him to buy for her. Then she will remind him about it in two weeks.,"   Natalie asked Jason if he could buy her some spices from Thailand, as she couldn't find anything similar in her area. Jason agreed, but asked",   Natalie wants Jason to buy her some spices from Thailand when he goes there next week. She will send him the names and pictures of the spices to
"Elisa: Who wants to come for drinks tonight at Mombasa?   Alice: me!   Sadie: I'm in as well   Carol: may I bring some people?   Elisa: sure, the more the better!   Carol: amazing   Arthur: count me in! I'll come with Alice of course   Liam: me too!   Kai: I will join you but after my courses, around 8   Elisa: No problem, we'll be there till midnight at least   Tom: i may come over :)   Elisa: Anybody else? I'd like to book the corner table   Tom: the big one?   Elisa: exactly   John: So count me in as well   Elisa: Perfect, the table is for 15 people so we should manage! See you there","Elisa, Sadie, Carol, Liam, Tom and John want to go for drinks tonight at Mombasa. Arthur will come with Alice. Kai will join them around 8. Elisa will book the big corner table for 15 people.","!   Elisa is organizing drinks at Mombasa tonight and has asked who wants to come. Alice, Sadie, Carol, Arthur, Liam,","!   In this conversation, Elisa is organizing a gathering at Mombasa for drinks. Alice, Sadie, Carol, Arthur, Liam, Kai"
"Hal: Have you got any homework for tomorrow?   Amy: no dad   Hal: ru sure?   Amy: told ya   Hal: You know mum's not home today.   Amy: I know, I can use the microwave   Hal: good girl. I'll be home around 6   Amy: yeah right   Hal: what do you mean   Amy: sry dad but you're never ever home at 6   Hal: i suppose you;re right. but I'll try today   Amy: ok. can I go to Alex?   Hal: ok, but be back home before 7. we'll have dinner together   Amy: ok dad   Hal: and if you really have no homework to do   Amy: sure thing dad",Amy and Hal will have dinner together when he is back home before 7.,"   Hal and Amy are discussing Amy's homework for the next day. Hal is asking if she has any, and Amy says no. Hal is skeptical and","   Hal: then you can stay at Alex's until 8 In this conversation, Hal is asking Amy if she has any homework for tomorrow. Amy says she does"
"Ray: Hey guys, I don't know if you heard but someone stole my bike yesterday so I'm going to post it on fb and would appreciate if you share! THX   Sam: shit, man, sorry to hear, I will share for sure   Luke: when was it, Ray? I had mine stolen last month around when I parked around on the 9th street   Ray: Mine was there too :( cops said it's a common area for it to happen but I still havent lost hope :(   Scott: Did they check the security cameras around the place? Maybe Mariott people saw someone?   Ray: Apparently they don't overlook that area...    Luke: Yeah, cops were completely useless too, I ended up going to Mariott on my own and asking people but they didn't see anything. I emailed their manager if they could look at the tapes but because of privacy issues blah blah blah it was a no go... Good luck man!   Ray: I mean those guys are pros... I had high grade lock on mine and an app alert and it didn't do shit. Now I'm out few grand and pissed off   Scott: I would be too. Did you post posters in the area? it's a busy street so maybe someone saw something   Ray: Yeah, I'm getting around to it now and I really hope that smeone was sober enough to notice anything. I mean it's a custom bike so I hope if they try to get rid of it it will rise suspicion   Luke: I think it might ve already been turned into parts and shipped off. Even if you wanted to keep it and painted it, you could still recognize it   Ray: I know, that's why I wanna reach as many people as posible,maybe they ll get spooked and leave it somewhere   Sam: Let us know if you need someone to go dumpster diving with    Ray: Heh, thx Sam! I appreciate all help",Ray's bike was stolen from the 9th street yesterday even though it was secured. It was a custom bike so now Ray's out few grand. Ray wants to post posters in the area so they'll get scared and leave it somewhere. Luke had one stolen last month from the same area. Sam wants to help out.,   Ray's bike was stolen and he is trying to spread the word about it on social media. His friends are offering their support and advice. Luke and," I can get     In this conversation, Ray's bike was stolen and he is trying to find it by posting on social media and putting up posters."
"Eric: Champions League is coming soon :D   Curtis: Oh, yea I forgot about that.   Curtis: when exactly?   Eric: 26th of June   Eric: but there is still a very long way.   Curtis: any predictions?   Eric: It's too early for that.   Curtis: True, last year you were betting a lot   Eric: I lost a lot :P    Eric: I'm gonna roar back this year :)   Curtis: good luck, I'm not into risking money   Eric: You have 50% chance to win.   Curtis: I'll pass anyway.   Eric: okay",Eric wants to bet during the Champions League this year although he lost a lot of money last year. Curtis won't bet.,"   Eric and Curtis are discussing the upcoming Champions League. Eric reminds Curtis that it is coming soon on the 26th of June, but there is still a",", suit yourself.   Eric and Curtis are discussing the upcoming Champions League. Eric is planning to make bets, while Curtis is not interested in risking money."
Gunther: did you pay for coffee?   Chandler: uhh.. i guess not xDbut it's okay i'll pay him tomorrow   Gunther: -_-,Chandler will pay for his coffee tomorrow.,"   Gunther asked Chandler if he had paid for the coffee, and Chandler admitted he had not but said he would pay for it tomorrow. Gunther was","   Chandler: don't worry i got it     Gunther asked Chandler if he paid for the coffee, and Chandler admitted he hadn't but promised to"
"Karen: <file_photo>   Jennifer: OH. MY. GOD. is that you?? I would not recognize you haha   Karen: of course it's me, i always look like that hahaha   Jennifer: oh god Karen you look so hot in this picture   Abigail: i would not recognize you either :D why where you so dressed up?   Karen: it was our 5th anniversary dinner   Abigail: Mark is such a lucky guy   Meggy: i agree with the girls, you look OUTSTANDING   Karen: thank you sisters!!! :*** that's so sweet of you   Jennifer: where did you buy this dress? i need one like it too   Abigail: i was gonna ask the same thing!   Meggy: chill out girls, we can't all buy the same clothes, i need it more hahaha   Karen: <file_other>   Meggy: first come, first serve!! I am ordering it   Karen: give the rest a chance too haha   Jennifer: let her have it :P",Karen looked very good on her 5th anniversary dinner with Mark. ,"   Karen posted a photo of herself dressed up for her 5th anniversary dinner, and Jennifer, Abigail, and Meggy all complimented her","   Karen posted a photo of herself dressed up for her 5th anniversary dinner. Jennifer, Abigail, and Meggy all complimented her on"
"Ted: Any news about weekend?   Jake: About the reunion?   Pia: I am available! Did we talk where?   Jessica: If I move some things around, I can too!   Ted: Great! we should set the place then   Jake: Whoa! I didn't say I could   Ted: Can you?   Jake: Hell yeah man! You know I freelance, worst case scenario I'll work from wherever we are   Ted: Lucky bastard   Jessica: We should meet up where we did last time, it's perfect middle for everyone   Ted: I agree   Pia: Friday night then?   Jess: Sure   Ted: It's a date, I'll book rooms   Jake: See you soon my peeps!","Ted, Jake, Pia, Jessica and Jess are having a reunion this Friday at the same place as the previous one.","   Ted, Jake, Pia, and Jessica have decided to have a reunion on Friday night. Jake initially said he couldn't make it, but then","   In this conversation, the group is discussing plans for a reunion over the weekend. They decide to meet up at the same place they did last time and"
"Bradley: It's very safe. Not like they make it look on TV   Julianna: Hehe I told them that also that tv will never show anything nice   Bradley: True...   Julianna: But in general I think Europe is safer because here we have different law. I mean we have too much law   Bradley: Haha   Julianna: E.g here if a teacher even touches a children's arm, he or she can have problems with police and law. Because it might be a sign of pedophilia or children sexual harassment   Bradley: Ok   Julianna: That's sick a bit hehe but on the other hand sometimes it's ok   Bradley: Haha ok how ?   Julianna: Because there are pedophiles in that world   Bradley: They are everywhere   Julianna: And when someone hits a child that person should be punished",Julianna tells Bradley about Europe's law and the approach towards pedophiles.,   Julianna and Bradley are discussing the safety of Europe compared to what is portrayed on television. Julianna believes Europe is safer because of the laws in,".   Julianna and Bradley are discussing the safety of Europe compared to other places. Julianna believes that Europe is safer due to its laws, which"
"Lucia: I need my hair cut.   Lucia: When can I come? I've got some time on Thursday and Friday.   Eric: Lucia! My dear!   Eric: Are you sure? After all, you had your hairstyle done a week ago.   Eric: What's the matter? Don't you like it?   Lucia: I like it very much and I regret to lose it.   Lucia: But I'm changing the job and my hair must be shorter...   Eric: I see. You'll tell me everything in detail once you're here, in my beauty salon.   Eric: I suggest Friday at 3 p.m. Is it fine for you?   Lucia: Sure, perfect.   Eric: Fantastic, have a nice day then.   Lucia: Thanks, bye.",Lucia needs a new hairstyle due to a change of work and she makes an appointment with Eric for Friday 3 p.m.,"   Eric and Lucia are discussing Lucia's need for a haircut. Eric is surprised that Lucia wants to cut her hair so soon after getting it done, and",   Lucia needs to get her hair cut for a job change and Eric offers to do it in his beauty salon on Friday at 3 p.m.
"Gabriella: Hey Jasmine, how are you doing?   Jasmine: I’m fine, thanks 😊   Gabriella: Would you do me a favor?   Jasmine: No problem. How can I help?   Gabriella: I need to send my CV in English to a truly perfect job for me and I’m wondering if you could take a look at it?   Jasmine: Sure! Send it to me 😊   Gabriella: Done 😊   Jasmine: Got it. Give me an hour and I’ll check it    Gabriella: Perfect! Thank you soooo much!   Jasmine: I’ve checked it. I must say that there wasn’t much to correct. It was practically perfect. I just fixed a little bit grammar and a few spelling mistakes.    Gabriella: I know how great you are at spelling!   Jasmine: Thanks Gabriella. I hope that you will get that job!   Gabriella: I hope so, too.   Jasmine: I’ll keep my fingers crossed 😊",Gabriella asked Jasmine to check her CV which is in English. She's applying for a perfect job. Jasmine checked it and did only minor corrections. She hopes Gabriella will get the job.,"   Gabriella asked Jasmine to review her CV for a job she was applying for, and Jasmine agreed. After Jasmine reviewed the CV,","     Gabriella asked Jasmine for help with her CV in English, which Jasmine agreed to do. Jasmine checked the CV and found only"
